name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source
Alexandre Datta,4031 BASEL,CH,UKBB - Universitäts- Kinderspital beider Basel Neuro- /Entwicklungspädiatri e Neuro- /Entwicklungspädiatri e Spitalstrasse 33 Postfach 4031,4031,,,,,,1133.3,,1133.3,hcp,eisai
Thomas Grunwald,8008 ZüRICH,CH,"Schweizerische Epilepsie-Stiftung, Klinik Lengg AG Bleulerstrasse 60",8008,,,,,,2366.64,66.78,2433.42,hcp,eisai
Henric Jokeit,8008 ZüRICH,CH,"Schweizeri. Epilepsie- Stiftung, Klinik Lengg AG Bleulerstrasse 60",8008,,,,,,250.0,,250.0,hcp,eisai
Günter Krämer,8001 ZüRICH,CH,Neurozentrum Bellevue Neurozentrum Bellevue Theaterstrasse 8 Theaterstrasse 8,8001,,,,,,1333.3,994.99,2328.29,hcp,eisai
Elisabeth Langenberger,8000 ZüRICH,CH,Klinik Lengg Bleulerstrasse 60,8000,,,,,,800.0,,800.0,hcp,eisai
Joachim Mertens,8091 ZüRICH,CH,Universitätsspital Zürich Rämistrasse 100,8091,,,,,,1000.0,,1000.0,hcp,eisai
Georgia Ramantani,8032 ZüRICH,CH,Kinderspital Zürich Steinwiesstrasse 75,8032,,,,638.87,,2333.27,,2972.15,hcp,eisai
Tamara Rordorf,8091 ZüRICH,CH,UniversitätsSpital Zürich Rämistrasse 100,8091,,,,,,750.0,,750.0,hcp,eisai
David Semela,9007 ST. GALLEN,CH,Kantonsspital St. Gallen Rorschacherstrasse 95,9007,,,,,,750.0,48.6,798.6,hcp,eisai
Januz Shala,8008 ZüRICH,CH,"Schweizeri. Epilepsie- Stiftung, Klinik Lengg AG Bleulerstrasse 60",8008,,,,,,1800.0,,1800.0,hcp,eisai
Philip Siebel,8500 FRAUENFELD,CH,Neurologie am Rosenberg Thundorferstrasse 120,8500,,,,,,800.0,,800.0,hcp,eisai
Alexander Siebenhüner,8091 ZüRICH,CH,Universitätsspital Zürich Rämistrasse 100,8091,,,,,,1500.0,,1500.0,hcp,eisai
"4Th Sfcns Congress 23.10.-25.10.2019 Organisator (Zahlungsempfänger) Imk Gegenleistung: Logopräsenz, Teilnahme Kongress",4001 Basel,CH,"Münsterberg 1,",4001,,,4717.26,,,,,4717.26,hco,eisai
Hopitaux Universitaire De Geneve Secteur Facturation Aux Tiers,1225 Chene-Bourg,CH,Chemin du Petit-Bel- Air 2,1225,,,1500.0,,,,,1500.0,hco,eisai
Hospital Du Valais- Chcvs,1951 Sion,CH,av. Grand- Champsec,1951,,,538.5,,,,,538.5,hco,eisai
Inselspital,3010 Bern,CH,Universitätsspital Bern,3010,,,4615.5,,,1000.0,,5615.5,hco,eisai
Institution De Lavigny,1175 Lavigny,CH,Route du Vignoble,1175,,,1000.0,,,,,1000.0,hco,eisai
Kantonsspital Aarau Ag,5001 Aarau,CH,Tellstrasse,5001,,,4523.4,,,,,4523.4,hco,eisai
Kantonsspital Baden Ag,5404 aden,CH,,5404,,,2615.5,,,,,2615.5,hco,eisai
Kantonsspital Graubuenden Finanzen/Patientenad Min,7000 Chur,CH,Loeestrasse,7000,,,1500.0,,,,,1500.0,hco,eisai
Kantonsspital Münsterlingen,8596 Münsterlingen,CH,Spitalcampus,8596,,,,,,250.0,,250.0,hco,eisai
Kantonsspital St Gallen,9007 St Gallen,CH,Rorschacher Strasse,9007,,,11039.25,,,1077.0,,12116.25,hco,eisai
Kantonsspital Winterthur,8401 Winterthur,CH,Brauerstrasse,8401,,,,,,750.0,,750.0,hco,eisai
Klinik Bethesda,3233 Tschugg,CH,Postfach,3233,,,2000.0,,,,,2000.0,hco,eisai
