,name,location,country,address,plz,uci,donations_grants,sponsorship,registration_fees,travel_accommodation,fees,related_expenses,total,type,source,year,address_expand,location_expand,name_expand,r_location,r_address,r_name
1307,Schweizerische Gesellschaft für Allergologie & Immunologie,Bern,CH,Scheibenstrasse 20,,,,16470.0,,,,,16470.0,hco,csl,2017,scheibenstrasse 20,bern, allergologie & immunologie,17,,
1783,Schweizerische Gesellschaft für Allergologie &Immunologie (SSAI),Bern,CH,Scheibenstrasse 20,,,0.0,3510.0,0.0,0.0,0.0,0.0,3510.0,hco,glaxosmithkline,2017,scheibenstrasse 20,bern, allergologie &immunologie (ssai),17,,
8596,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,0.0,22000.0,0.0,0.0,0.0,0.0,22000.0,hco,menarini,2015,scheibenstrasse 20,bern, allergologie und immunologie,17,,
2483,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,,14925.6,,,,,14925.6,hco,merck,2017,scheibenstrasse 20,bern, allergologie und immunologie,17,,
6770,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,,14580.0,,,,,14580.0,hco,merck,2016,scheibenstrasse 20,bern, allergologie und immunologie,17,,
10568,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,13500.0,0.0,0.0,0.0,0.0,0.0,13500.0,hco,mundipharma,2015,scheibenstrasse 20,bern, allergologie und immunologie,17,,
10355,Schweizerische Gesellschaft für Allergologie und Immunologie,Bern,CH,Scheibenstrasse 20,,,0.0,750.0,0.0,0.0,0.0,0.0,750.0,hco,merck,2015,scheibenstrasse 20,bern, allergologie und immunologie,17,,
7977,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI),Bern,CH,Scheibenstrasse 20,,,,13500.0,,,,,13500.0,hco,stallergenes,2016,scheibenstrasse 20,bern, allergologie und immunologie (sgai),17,,
11481,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI),Bern,CH,Scheibenstrasse 20,,,0.0,13500.0,0.0,0.0,0.0,0.0,13500.0,hco,stallergenes,2015,scheibenstrasse 20,bern, allergologie und immunologie (sgai),17,,
2962,Schweizerische Gesellschaft für Allergologie und Immunologie (SGAI) Sekret. Frau Evelyne Schenk,Bern,CH,Scheibenstrasse 20,,,0.0,45850.0,0.0,0.0,3000.0,0.0,48850.0,hco,novartis,2017,scheibenstrasse 20,bern, allergologie und immunologie (sgai) sekret. frau evelyne schenk,17,,
1621,Schweizerische Gesellschaft für Allergologie und Immunologie SGAI,Bern,CH,Scheibenstrasse 20,,Schweizerische_Gesel lschaft_fur_Allergologi e_und_Immunologie_ SGAI,,3000.0,,,,,3000.0,hco,galderma,2017,scheibenstrasse 20,bern, allergologie und immunologie sgai,17,,
2232,Schweizerische Gesellschaft für Allergologie und Immunologie SSAI,Bern,CH,Scheibenstrasse 20,,,,4970.0,,,,,4970.0,hco,menarini,2017,scheibenstrasse 20,bern, allergologie und immunologie ssai,17,,
6517,"Schweizerische Gesellschaft für Allergologie und Immunologie, SGAI",Bern,CH,Scheibenstrasse 20,,,,18200.0,,,,,18200.0,hco,menarini,2016,scheibenstrasse 20,bern," allergologie und immunologie, sgai",17,,
11903,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Postfach,,,0.0,26950.0,0.0,0.0,0.0,0.0,26950.0,hco,vifor,2015,postfach,basel, allgemeine innere medizin,46,,
11445,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Solothurnerstrasse 68,,,0.0,12250.0,0.0,0.0,0.0,0.0,12250.0,hco,servier,2015,solothurnerstrasse 68,basel, allgemeine innere medizin,46,,
10569,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Monbijoustrasse 43,,,10000.0,0.0,0.0,0.0,0.0,0.0,10000.0,hco,mundipharma,2015,monbijoustrasse 43,basel, allgemeine innere medizin,46,,
3784,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Solothurnerstrasse 68,4002,SGIMBVRBasel,,31054.0,,,,,31054.0,hco,servier,2017,solothurnerstrasse 68,basel, allgemeine innere medizin,46,,
9689,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Solothurnerstrass e 68,,,0.0,30780.0,0.0,0.0,0.0,0.0,30780.0,hco,eli,2015,solothurnerstrass east 68,basel, allgemeine innere medizin,46,,
881,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Bern,CH,Monbijoustrasse 43,3011,1057207285,0.0,71000.0,0.0,0.0,0.0,0.0,71000.0,hco,bayer,2017,monbijoustrasse 43,bern, allgemeine innere medizin,17,,
2668,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Bern,CH,Monbijoustrasse 43,,,5940.0,,,,,,5940.0,hco,mundipharma,2017,monbijoustrasse 43,bern, allgemeine innere medizin,17,,
11681,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Solothumerstrasse 68,,,0.0,24340.0,0.0,0.0,0.0,0.0,24340.0,hco,takeda,2015,solothumerstrasse 68,basel, allgemeine innere medizin,46,,
6890,Schweizerische Gesellschaft für Allgemeine Innere Medizin,Basel,CH,Monbijoustrasse 43,,,2400.0,0.0,0.0,0.0,0.0,0.0,2400.0,hco,mundipharma,2016,monbijoustrasse 43,basel, allgemeine innere medizin,46,,
5415,Schweizerische Gesellschaft für Allgemeine Innere Medizin (SGAIM),Bern,CH,Monbijoustrasse 43,3011,,0.0,2940.0,0.0,0.0,0.0,0.0,2940.0,hco,boehringer,2016,monbijoustrasse 43,bern, allgemeine innere medizin (sgaim),17,,
